Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
03/10/2004,06:00:00 PM,2.6,1360,150,11.8817234886803,1045.5,166,1056.25,113,1692,1267.5,13.599999904633,48.875000953674,0.757753825129361
03/10/2004,07:00:00 PM,2,1292.25,112,9.3971648895816,954.75,103,1173.75,92,1558.75,972.25,13.299999952316,47.699999809265,0.725487449242467
03/10/2004,08:00:00 PM,2.2,1402,88,8.9978168713268,939.25,131,1140,114,1554.5,1074,11.900000095367,53.97500038147,0.750239067398195
03/10/2004,09:00:00 PM,2.2,1375.5,80,9.22879642140727,948.25,172,1092,122,1583.75,1203.25,11,60,0.786712533085925
03/10/2004,10:00:00 PM,1.6,1272.25,51,6.51822366907414,835.5,131,1205,116,1490,1110,11.150000095367,59.575000762939,0.788794231866759
03/10/2004,11:00:00 PM,1.2,1197,38,4.74101236247875,750.25,89,1336.5,96,1393,949.25,11.175000190735,59.175000190735,0.784771664339745
03/11/2004,12:00:00 AM,1.2,1185,31,3.62439918979752,689.5,62,1461.75,77,1332.75,732.5,11.324999809265,56.77499961853,0.760311939284329
03/11/2004,01:00:00 AM,1,1136.25,31,3.3266769916608,672,62,1453.25,76,1332.75,729.5,10.674999952316,60,0.770238457823045
03/11/2004,02:00:00 AM,0.9,1094,24,2.33941619508671,608.5,45,1579,60,1276,619.5,10.650000095367,59.674999237061,0.76481872568612
03/11/2004,03:00:00 AM,0.6,1009.75,19,1.69665825765132,560.75,-200,1705,-200,1234.75,501.25,10.250000238419,60.200000762939,0.75165716483069
03/11/2004,04:00:00 AM,-200,1011,14,1.2936197573721,526.75,21,1817.5,34,1196.75,445.25,10.075000047684,60.474999427795,0.746494516129247
03/11/2004,05:00:00 AM,0.7,1066,8,1.13343057118786,512,16,1918,28,1182,421.75,10.999999761581,56.175000190735,0.73655960018064
03/11/2004,06:00:00 AM,0.7,1051.75,16,1.60376787972881,553.25,34,1738.25,48,1221.25,471.5,10.450000047684,58.125,0.735295083024728
03/11/2004,07:00:00 AM,1.1,1144,29,3.24361814731007,667,98,1489.75,82,1339,729.75,10.200000047684,59.599999427795,0.741736162856328
